,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marca temporal,11/11/2021 13:12:00,18/11/2021 19:57:06,18/11/2021 19:58:56,18/11/2021 19:59:28,18/11/2021 20:00:32,18/11/2021 20:03:02,18/11/2021 20:05:11,18/11/2021 20:08:39,18/11/2021 20:08:54,18/11/2021 20:09:27,18/11/2021 20:09:45,18/11/2021 20:13:53,18/11/2021 20:13:54,18/11/2021 20:14:21,18/11/2021 20:16:04,18/11/2021 20:17:50,18/11/2021 20:19:22,18/11/2021 20:20:02,18/11/2021 20:29:19,18/11/2021 20:36:54,18/11/2021 20:38:07,18/11/2021 20:38:46,18/11/2021 20:47:20,18/11/2021 21:21:37,18/11/2021 21:25:21,18/11/2021 21:25:57,18/11/2021 21:33:23,18/11/2021 21:44:21,18/11/2021 21:46:33,18/11/2021 22:08:59,18/11/2021 22:34:51,18/11/2021 22:47:45,18/11/2021 22:54:41,18/11/2021 22:58:01,18/11/2021 22:59:48,18/11/2021 23:21:02,18/11/2021 23:21:19,18/11/2021 23:22:25,18/11/2021 23:23:26,18/11/2021 23:26:22,18/11/2021 23:34:25,18/11/2021 23:41:21,19/11/2021 0:34:16,19/11/2021 7:14:55,19/11/2021 8:48:23,19/11/2021 8:52:08,19/11/2021 10:03:46,19/11/2021 10:10:15,19/11/2021 10:26:11,19/11/2021 10:58:20,19/11/2021 11:26:47,19/11/2021 11:31:18,19/11/2021 12:00:04,19/11/2021 12:05:32,19/11/2021 12:08:45,19/11/2021 12:11:06,19/11/2021 12:11:17,19/11/2021 12:20:48,19/11/2021 12:20:56,19/11/2021 12:31:58,19/11/2021 12:32:47,19/11/2021 12:35:45,19/11/2021 12:40:06,19/11/2021 12:42:27,19/11/2021 12:53:34,19/11/2021 13:19:56,19/11/2021 13:24:46,19/11/2021 14:18:16,19/11/2021 14:19:42,19/11/2021 14:36:07,19/11/2021 14:41:28,19/11/2021 14:44:27,19/11/2021 15:47:26,19/11/2021 16:45:52,20/11/2021 1:19:38,20/11/2021 12:29:33,22/11/2021 10:15:19,22/11/2021 13:40:48,22/11/2021 14:27:59,22/11/2021 14:59:37,22/11/2021 16:02:20,22/11/2021 20:11:16,23/11/2021 9:21:50,23/11/2021 9:42:26,23/11/2021 9:47:53,23/11/2021 9:48:26,23/11/2021 9:48:39,23/11/2021 10:14:28,23/11/2021 10:19:50,23/11/2021 10:24:21,23/11/2021 10:35:33,23/11/2021 10:41:56,23/11/2021 10:47:09,23/11/2021 11:04:35,23/11/2021 12:34:02
¿Dónde consideras que existe mayor riesgo de amenazas y/o ciber ataques?,Aplicaciones,Navegación web,Redes sociales,Redes sociales,Redes sociales,Navegación web,E-mail,Navegación web,Navegación web,Navegación web,Redes sociales,Navegación web,Navegación web,Redes sociales,Redes sociales,Redes sociales,Smartphone,Navegación web,Redes sociales,Redes sociales,E-mail,Redes sociales,Redes sociales,Redes sociales,Redes sociales,Navegación web,Navegación web,Navegación web,Navegación web,Navegación web,Redes sociales,Redes sociales,Redes sociales,Redes sociales,Redes sociales,Navegación web,Navegación web,E-mail,Redes sociales,Redes sociales,Navegación web,Redes sociales,E-mail,Redes sociales,Redes sociales,Redes sociales,Redes sociales,Redes sociales,Redes sociales,Navegación web,Navegación web,Navegación web,Redes sociales,E-mail,Navegación web,Redes sociales,Redes sociales,Navegación web,E-mail,Redes sociales,Navegación web,E-mail,Navegación web,Aplicaciones,Redes sociales,Smartphone,Redes sociales,Navegación web,Redes sociales,Redes sociales,Aplicaciones,Redes sociales,Smartphone,Smartphone,Redes sociales,Redes sociales,Redes sociales,Redes sociales,Redes sociales,Navegación web,Redes sociales,Aplicaciones,Redes sociales,Navegación web,Redes sociales,Redes sociales,Redes sociales,E-mail,Navegación web,Navegación web,Navegación web,E-mail,Navegación web,Navegación web,Smartphone
¿Alguna vez has sido víctima de alguna amenaza cibernética? ,No,No,No,No,Sí,Sí,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,Sí,Sí,No,No,No,No,No,Sí,Sí,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,Sí,No,No,No,Sí,Sí,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No
¿Cuántas horas en promedio pasas en redes sociales al día? ,Entre 1 y 2 horas,Entre 1 y 2 horas,Menos de 1 hora,Entre 3 y 4 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Entre 3 y 4 horas,Entre 1 y 2 horas,Entre 3 y 4 horas,Menos de 1 hora,Entre 1 y 2 horas,Entre 3 y 4 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Más de 4 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Entre 1 y 2 horas,Más de 4 horas,Entre 3 y 4 horas,Entre 1 y 2 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Entre 1 y 2 horas,Más de 4 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Entre 1 y 2 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Más de 4 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Entre 3 y 4 horas,Menos de 1 hora,Menos de 1 hora,Más de 4 horas,Entre 1 y 2 horas,Entre 3 y 4 horas,Más de 4 horas,Más de 4 horas,Entre 1 y 2 horas,Más de 4 horas,Entre 3 y 4 horas,Entre 1 y 2 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Menos de 1 hora,Entre 1 y 2 horas,Entre 1 y 2 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Más de 4 horas,Entre 1 y 2 horas,Entre 3 y 4 horas,Entre 1 y 2 horas,Entre 1 y 2 horas,Más de 4 horas,Más de 4 horas,Entre 3 y 4 horas,Menos de 1 hora,Entre 1 y 2 horas,Menos de 1 hora,Entre 3 y 4 horas,Entre 3 y 4 horas,Menos de 1 hora,Más de 4 horas,Más de 4 horas,Entre 3 y 4 horas,Entre 1 y 2 horas,Más de 4 horas,Entre 3 y 4 horas,Entre 3 y 4 horas,Menos de 1 hora,Entre 1 y 2 horas,Más de 4 horas
¿Usas las redes sociales como apoyo en tus estudios universitarios? ,Sí,Sí,No,No,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,No,Sí,No,Sí,Sí,Sí,No,No,No,Sí,Sí,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí
 ¿Qué páginas usas para tus estudios? ,"Noticieros/periódicos, Revistas científicas o similares",Tutoriales o crash courses,,,"Tutoriales o crash courses, Una página de un profesionista influyente en tu área","Noticieros/periódicos, Revistas científicas o similares",,Otro,,"Noticieros/periódicos, Revistas científicas o similares, Otro",,"Noticieros/periódicos, Tutoriales o crash courses",Tutoriales o crash courses,,,"Revistas científicas o similares, Una página de un profesionista influyente en tu área","Revistas científicas o similares, Otro","Noticieros/periódicos, Tutoriales o crash courses, Revistas científicas o similares","Noticieros/periódicos, Tutoriales o crash courses, Revistas científicas o similares, Una página de un profesionista influyente en tu área",Noticieros/periódicos,"Noticieros/periódicos, Tutoriales o crash courses",,"Noticieros/periódicos, Tutoriales o crash courses, Revistas científicas o similares",,,Una página de un profesionista influyente en tu área,"Una página de un profesionista influyente en tu área, Otro",,,,Revistas científicas o similares,"Noticieros/periódicos, Tutoriales o crash courses, Una página de un profesionista influyente en tu área, Otro","Noticieros/periódicos, Revistas científicas o similares, Una página de un profesionista influyente en tu área","Revistas científicas o similares, Una página de un profesionista influyente en tu área","Noticieros/periódicos, Revistas científicas o similares, Una página de un profesionista influyente en tu área",Una página de un profesionista influyente en tu área,"Noticieros/periódicos, Revistas científicas o similares, Una página de un profesionista influyente en tu área",,"Noticieros/periódicos, Tutoriales o crash courses","Noticieros/periódicos, Revistas científicas o similares",Tutoriales o crash courses,"Tutoriales o crash courses, Revistas científicas o similares",,"Noticieros/periódicos, Tutoriales o crash courses, Revistas científicas o similares","Noticieros/periódicos, Revistas científicas o similares, Una página de un profesionista influyente en tu área",Una página de un profesionista influyente en tu área,Una página de un profesionista influyente en tu área,Tutoriales o crash courses,,,"Noticieros/periódicos, Tutoriales o crash courses, Revistas científicas o similares, Una página de un profesionista influyente en tu área, Otro",,Noticieros/periódicos,,"Noticieros/periódicos, Tutoriales o crash courses, Revistas científicas o similares, Una página de un profesionista influyente en tu área",,Una página de un profesionista influyente en tu área,,Noticieros/periódicos,"Tutoriales o crash courses, Revistas científicas o similares","Noticieros/periódicos, Tutoriales o crash courses","Tutoriales o crash courses, Otro","Tutoriales o crash courses, Una página de un profesionista influyente en tu área",,"Noticieros/periódicos, Revistas científicas o similares, Una página de un profesionista influyente en tu área",,,Otro,,Tutoriales o crash courses,,"Noticieros/periódicos, Tutoriales o crash courses, Revistas científicas o similares, Una página de un profesionista influyente en tu área","Tutoriales o crash courses, Revistas científicas o similares","Noticieros/periódicos, Tutoriales o crash courses, Revistas científicas o similares",,,,Revistas científicas o similares,"Noticieros/periódicos, Revistas científicas o similares, Una página de un profesionista influyente en tu área",,"Tutoriales o crash courses, Una página de un profesionista influyente en tu área",,"Tutoriales o crash courses, Revistas científicas o similares","Tutoriales o crash courses, Una página de un profesionista influyente en tu área",,"Noticieros/periódicos, Tutoriales o crash courses, Revistas científicas o similares, Una página de un profesionista influyente en tu área",Revistas científicas o similares,"Tutoriales o crash courses, Una página de un profesionista influyente en tu área, Otro","Tutoriales o crash courses, Revistas científicas o similares, Una página de un profesionista influyente en tu área","Noticieros/periódicos, Una página de un profesionista influyente en tu área","Noticieros/periódicos, Tutoriales o crash courses, Revistas científicas o similares, Una página de un profesionista influyente en tu área",Revistas científicas o similares,,"Noticieros/periódicos, Una página de un profesionista influyente en tu área","Noticieros/periódicos, Tutoriales o crash courses, Una página de un profesionista influyente en tu área"
¿Cuál crees que es el mayor beneficio de las redes sociales en tus estudios ?,Comunicación entre profesores y estudiantes,Comunicación entre profesores y estudiantes,,,Descarga de documentos,Comunicación entre profesores y estudiantes,,Descarga de documentos,,Descarga de documentos,,Videos,Comunicación entre profesores y estudiantes,,,Comunicación entre profesores y estudiantes,Descarga de documentos,Comunicación entre profesores y estudiantes,Descarga de documentos,Videos,Descarga de documentos,,Videos,,,Colaboración de proyectos,Colaboración de proyectos,,,,Videos,Videos,Comunicación entre profesores y estudiantes,Colaboración de proyectos,Descarga de documentos,Colaboración de proyectos,Videos,,Videos,Descarga de documentos,Descarga de documentos,Videos,,Colaboración de proyectos,Colaboración de proyectos,Colaboración de proyectos,Videos,Colaboración de proyectos,,,Descarga de documentos,,Comunicación entre profesores y estudiantes,,Otro,,Descarga de documentos,,Colaboración de proyectos,Comunicación entre profesores y estudiantes,Colaboración de proyectos,Comunicación entre profesores y estudiantes,Comunicación entre profesores y estudiantes,,Colaboración de proyectos,,,Colaboración de proyectos,,Videos,,Otro,Colaboración de proyectos,Comunicación entre profesores y estudiantes,,,,Comunicación entre profesores y estudiantes,Comunicación entre profesores y estudiantes,,Colaboración de proyectos,,Descarga de documentos,Videos,,Colaboración de proyectos,Comunicación entre profesores y estudiantes,Colaboración de proyectos,Videos,Comunicación entre profesores y estudiantes,Colaboración de proyectos,Colaboración de proyectos,,Colaboración de proyectos,Colaboración de proyectos
¿Qué tan familiarizado estas con las amenazas cibernéticas? ,Muy poco,Regular,Regular,Regular,Regular,Algo,Regular,Regular,Algo,Algo,Regular,Muy poco,Muy poco,Algo,Regular,Regular,Muy poco,Regular,Regular,Muy poco,Regular,Regular,Algo,Muy poco,Nada,Algo,Algo,Algo,Muy poco,Algo,Muy poco,Mucho,Regular,Nada,Regular,Muy poco,Muy poco,Mucho,Regular,Regular,Algo,Regular,Algo,Regular,Muy poco,Regular,Muy poco,Muy poco,Algo,Algo,Regular,Regular,Mucho,Regular,Algo,Algo,Muy poco,Algo,Algo,Regular,Muy poco,Muy poco,Algo,Regular,Muy poco,Nada,Regular,Regular,Regular,Regular,Algo,Regular,Muy poco,Regular,Nada,Regular,Muy poco,Nada,Regular,Regular,Muy poco,Algo,Algo,Muy poco,Regular,Muy poco,Nada,Muy poco,Mucho,Muy poco,Algo,Muy poco,Regular,Algo,Muy poco
¿Cuál crees que es la mayor amenaza para ti cuando te conectas?,Intimidación o acoso por parte de amigos o conocidos,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Otro,Avances sexuales no deseados por redes sociales,Otro,Avances sexuales no deseados por redes sociales,Otro,Otro,Intimidación o acoso por parte de amigos o conocidos,Otro,Otro,Avances sexuales no deseados por redes sociales,Otro,Que alguien use tus fotos de manera inapropiada,Avances sexuales no deseados por redes sociales,Que alguien use tus fotos de manera inapropiada,Otro,Otro,Que alguien use tus fotos de manera inapropiada,Avances sexuales no deseados por redes sociales,Que alguien use tus fotos de manera inapropiada,Otro,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Otro,Que alguien use tus fotos de manera inapropiada,Otro,Otro,Intimidación o acoso por parte de amigos o conocidos,Avances sexuales no deseados por redes sociales,Otro,Intimidación o acoso por parte de amigos o conocidos,Intimidación o acoso por parte de amigos o conocidos,Que alguien use tus fotos de manera inapropiada,Otro,Que alguien use tus fotos de manera inapropiada,Intimidación o acoso por parte de amigos o conocidos,Avances sexuales no deseados por redes sociales,Intimidación o acoso por parte de amigos o conocidos,Otro,Avances sexuales no deseados por redes sociales,Otro,Otro,Que alguien use tus fotos de manera inapropiada,Intimidación o acoso por parte de amigos o conocidos,Que alguien use tus fotos de manera inapropiada,Avances sexuales no deseados por redes sociales,Otro,Otro,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Otro,Otro,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Otro,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Otro,Otro,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Otro,Otro,Intimidación o acoso por parte de amigos o conocidos,Avances sexuales no deseados por redes sociales,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Intimidación o acoso por parte de amigos o conocidos,Que alguien use tus fotos de manera inapropiada,Otro,Que alguien use tus fotos de manera inapropiada,Avances sexuales no deseados por redes sociales,Avances sexuales no deseados por redes sociales,Otro,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Otro,Otro,Que alguien use tus fotos de manera inapropiada,Intimidación o acoso por parte de amigos o conocidos,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada,Avances sexuales no deseados por redes sociales,Que alguien use tus fotos de manera inapropiada,Avances sexuales no deseados por redes sociales,Que alguien use tus fotos de manera inapropiada,Que alguien use tus fotos de manera inapropiada
Señala si has recibido alguna de estas amenazas  cibernéticas:,"Ciber acoso, Phishing","Ciber acoso (Uso de medios digitales para molestar a alguna persona), Robo de identidad (Apropiación de la identidad de una persona), Spam (Correo basura digital)",Spam (Correo basura digital),Spam (Correo basura digital),"Ciber acoso (Uso de medios digitales para molestar a alguna persona), Spam (Correo basura digital)","Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada), Spam (Correo basura digital)","Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Robo de identidad (Apropiación de la identidad de una persona), Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",Spam (Correo basura digital),"Ciber acoso (Uso de medios digitales para molestar a alguna persona), Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",Spam (Correo basura digital),Spam (Correo basura digital),"Robo de identidad (Apropiación de la identidad de una persona), Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar)",Spam (Correo basura digital),Spam (Correo basura digital),"Robo de identidad (Apropiación de la identidad de una persona), Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada), Spam (Correo basura digital)","Robo de identidad (Apropiación de la identidad de una persona), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada), Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar)",Spam (Correo basura digital),Spam (Correo basura digital),"Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Ciber acoso (Uso de medios digitales para molestar a alguna persona), Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar)",Spam (Correo basura digital),Spam (Correo basura digital),"Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar)","Robo de identidad (Apropiación de la identidad de una persona), Spam (Correo basura digital)","Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar)",No aplica,"Ciber acoso (Uso de medios digitales para molestar a alguna persona), Spam (Correo basura digital)",No aplica,Spam (Correo basura digital),Spam (Correo basura digital),"Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada)","Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar)","Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",Spam (Correo basura digital),"Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",No aplica,No aplica,Spam (Correo basura digital),Spam (Correo basura digital),"Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada), Spam (Correo basura digital)","Robo de identidad (Apropiación de la identidad de una persona), Spam (Correo basura digital)","Ciber acoso (Uso de medios digitales para molestar a alguna persona), Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar)","Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",Spam (Correo basura digital),"Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",Spam (Correo basura digital),"Ciber acoso (Uso de medios digitales para molestar a alguna persona), Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada), Robo de identidad (Apropiación de la identidad de una persona), Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",Robo de identidad (Apropiación de la identidad de una persona),Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar),"Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Robo de identidad (Apropiación de la identidad de una persona), Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar),Spam (Correo basura digital),"Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada), Spam (Correo basura digital)",No aplica,"Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",Spam (Correo basura digital),Spam (Correo basura digital),"Ciber acoso (Uso de medios digitales para molestar a alguna persona), Spam (Correo basura digital)",Spam (Correo basura digital),"Ciber acoso (Uso de medios digitales para molestar a alguna persona), Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada), Robo de identidad (Apropiación de la identidad de una persona), Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar)",No aplica,"Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada)","Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada), Spam (Correo basura digital)",Spam (Correo basura digital),"Robo de identidad (Apropiación de la identidad de una persona), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",Spam (Correo basura digital),"Ciber acoso (Uso de medios digitales para molestar a alguna persona), Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Ciber acoso (Uso de medios digitales para molestar a alguna persona), Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada), Robo de identidad (Apropiación de la identidad de una persona), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Robo de identidad (Apropiación de la identidad de una persona), Spam (Correo basura digital)",Spam (Correo basura digital),Spam (Correo basura digital),Spam (Correo basura digital),No aplica,No aplica,"Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Ciber acoso (Uso de medios digitales para molestar a alguna persona), Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada), Spam (Correo basura digital)","Ciber acoso (Uso de medios digitales para molestar a alguna persona), Ciber bullying (Cuando una persona es molestada, amenazada, humillada, acosada, avergonzada o abusada), Spam (Correo basura digital)",Spam (Correo basura digital),"Ciber acoso (Uso de medios digitales para molestar a alguna persona), Spam (Correo basura digital), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)","Robo de identidad (Apropiación de la identidad de una persona), Phishing (Engaño a una víctima para manipularla y hacer que realice acciones que no debería realizar), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",No aplica,"Robo de identidad (Apropiación de la identidad de una persona), Spam (Correo basura digital), Spoofing (Un atacante se hace pasar por una entidad distinta a través de la falsificación de los datos en una comunicación)",Spam (Correo basura digital),No aplica,Spam (Correo basura digital),Spam (Correo basura digital)
¿Alguna vez has agregado a una persona que no conocías en una red social o en alguna plataforma de videojuegos?,Sí,No,Sí,Sí,No,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí
¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen.,Instagram,,"Facebook, Instagram, Twitter","Instagram, Twitter",,"Facebook, Instagram",,Facebook,,"Facebook, Twitter",,"Facebook, Instagram","Facebook, TikTok",Otro,"Facebook, Instagram","Facebook, Instagram","Facebook, Instagram, Twitter",Facebook,"Facebook, Instagram, TikTok","Facebook, Instagram",Instagram,"Facebook, Instagram",Facebook,,,"Facebook, Instagram","Facebook, Instagram, Otro",Otro,,Facebook,"Facebook, Instagram",Facebook,"Facebook, Instagram",,"Facebook, Instagram",,,"Facebook, Instagram, TikTok",Instagram,Instagram,Facebook,,Instagram,"Facebook, Instagram",,"Facebook, Instagram, Twitter, TikTok","Facebook, Instagram",,"Facebook, Instagram","Facebook, Otro",,"Facebook, Otro",,Facebook,"Facebook, Instagram, Twitter, TikTok","Facebook, Instagram, Twitter, TikTok","Facebook, Instagram, Otro","Facebook, Instagram, Otro","Facebook, Instagram",,Facebook,"Facebook, Instagram, Twitter",,"Facebook, Instagram, Twitter",Twitter,,Facebook,,Otro,"Facebook, Instagram","Facebook, Instagram, Twitter",,Facebook,"Facebook, Instagram, Twitter, Otro","Facebook, Instagram",,"Facebook, Instagram, Twitter",Facebook,Facebook,Otro,,,,"Facebook, Instagram","Facebook, Instagram","Instagram, Otro",Facebook,Otro,"Facebook, Instagram, Twitter, TikTok, Otro",,"Facebook, Instagram, Twitter, TikTok","Facebook, Instagram, TikTok",,"Facebook, Instagram, TikTok",Otro
¿A cuántas personas? ,1 a 3,,11 o más,1 a 3,,6 a 10,,11 o más,,11 o más,,11 o más,11 o más,1 a 3,11 o más,1 a 3,11 o más,1 a 3,4 a 6,11 o más,1 a 3,1 a 3,11 o más,,,11 o más,1 a 3,4 a 6,,6 a 10,11 o más,1 a 3,1 a 3,,1 a 3,,,11 o más,1 a 3,4 a 6,1 a 3,,4 a 6,4 a 6,,1 a 3,6 a 10,,6 a 10,1 a 3,,1 a 3,,1 a 3,11 o más,11 o más,11 o más,4 a 6,11 o más,,6 a 10,1 a 3,,11 o más,11 o más,,1 a 3,,11 o más,1 a 3,4 a 6,,1 a 3,6 a 10,11 o más,,11 o más,11 o más,1 a 3,4 a 6,,,,1 a 3,1 a 3,1 a 3,1 a 3,1 a 3,11 o más,,11 o más,11 o más,,11 o más,11 o más
